PharmaID,OriginialFormUnitID,StandardFormUnitID,OriginalFormUnitAbbr,StandardFormUnitAbbr,ArchTime
202,19,0,ml,andere,1990-01-01 00:00:00
202,19,0,ml,andere,2005-02-04 13:45:45
202,19,0,ml,andere,2006-01-07 02:23:11
202,19,0,ml,andere,2006-03-25 02:34:38
260,22,19,Trpf,ml,1990-01-01 00:00:00
260,22,19,Trpf,ml,2005-02-04 13:45:45
260,22,19,Trpf,ml,2005-12-29 02:24:05
260,22,19,Trpf,ml,2010-01-28 12:06:31
260,22,19,Trpf,ml,2010-09-21 13:01:22
260,22,19,Trpf,ml,2012-01-16 16:23:28
260,22,19,Trpf,ml,2012-04-26 19:07:25
260,22,19,Trpf,ml,2012-08-03 18:36:26
260,22,19,Trpf,ml,2013-08-27 17:26:39
260,22,19,Trpf,ml,2013-08-29 12:13:33
405,19,0,ml,andere,1990-01-01 00:00:00
405,19,0,ml,andere,2005-02-04 13:45:45
405,19,0,ml,andere,2005-08-04 02:36:23
405,19,0,ml,andere,2005-10-18 02:53:41
1000263,0,19,andere,ml,2006-05-17 02:57:48
1000274,19,0,ml,andere,1990-01-01 00:00:00
1000274,19,0,ml,andere,2005-02-04 13:45:45
1000274,19,0,ml,andere,2005-02-23 02:14:30
1000274,19,0,ml,andere,2005-10-18 02:53:41
1000274,19,0,ml,andere,2005-10-22 02:54:35
1000274,19,0,ml,andere,2006-02-21 02:49:40
1000291,23,1007,tabl,Beutel,1990-01-01 00:00:00
1000291,23,1007,tabl,Beutel,2005-02-04 13:45:45
1000291,23,1007,tabl,Beutel,2005-10-21 02:46:22
1000291,23,1007,tabl,Beutel,2006-07-28 03:39:37
1000292,0,19,andere,ml,2008-11-05 05:12:47
1000292,0,19,andere,ml,2009-11-01 02:21:41
1000292,0,19,andere,ml,2010-01-28 11:50:34
1000292,0,19,andere,ml,2010-09-20 16:45:53
1000292,0,19,andere,ml,2012-01-16 16:02:28
1000292,0,19,andere,ml,2012-04-25 11:16:13
1000337,19,12,ml,mg,1990-01-01 00:00:00
1000337,19,12,ml,mg,2005-02-04 13:45:45
1000337,19,12,ml,mg,2005-02-23 02:14:30
1000337,19,12,ml,mg,2005-05-28 02:32:05
1000337,19,12,ml,mg,2005-07-11 15:41:31
1000337,19,12,ml,mg,2005-12-11 02:27:55
1000337,19,12,ml,mg,2006-01-07 02:23:11
1000337,19,12,ml,mg,2006-02-21 02:49:40
1000337,19,12,ml,mg,2006-03-08 02:33:54
1000367,24,1,supp,g,1990-01-01 00:00:00
1000367,24,1,supp,g,2005-02-04 13:45:45
1000367,24,1,supp,g,2006-05-03 02:36:09
1000389,26,1004,Inh.,Hub,1990-01-01 00:00:00
1000389,26,1004,Inh.,Hub,2005-02-04 13:45:45
1000389,26,1004,Inh.,Hub,2005-10-20 02:43:38
1000389,26,1004,Inh.,Hub,2005-12-29 02:24:05
1000389,19,1004,ml,Hub,2012-06-12 17:57:20
1000390,0,34,andere,Kps,1990-01-01 00:00:00
1000390,0,34,andere,Kps,2005-02-04 13:45:45
1000398,0,34,andere,Kps,1990-01-01 00:00:00
1000398,0,34,andere,Kps,2005-02-04 13:45:45
1000398,0,34,andere,Kps,2005-04-02 02:24:15
1000398,0,34,andere,Kps,2005-10-21 02:46:22
1000417,34,23,Kps,tabl,1990-01-01 00:00:00
1000417,34,23,Kps,tabl,2005-02-04 13:45:45
1000417,34,23,Kps,tabl,2005-05-28 02:32:04
1000417,34,23,Kps,tabl,2010-01-28 11:54:47
1000417,34,23,Kps,tabl,2010-09-21 09:43:37
1000424,19,0,ml,andere,1990-01-01 00:00:00
1000424,19,0,ml,andere,2005-02-04 13:45:45
1000425,0,19,andere,ml,2005-02-23 02:14:30
1000458,0,1000,andere,12h/d,1990-01-01 00:00:00
1000458,0,1000,andere,12h/d,2005-02-04 13:45:45
1000458,0,1000,andere,12h/d,2005-05-28 02:32:04
1000459,0,1000,andere,12h/d,1990-01-01 00:00:00
1000459,0,1000,andere,12h/d,2005-02-04 13:45:45
1000459,0,1000,andere,12h/d,2005-05-28 02:32:04
1000459,0,1000,andere,12h/d,2005-08-11 02:29:55
1000465,19,0,ml,andere,1990-01-01 00:00:00
1000465,19,0,ml,andere,2005-02-04 13:45:45
1000483,19,0,ml,andere,1990-01-01 00:00:00
1000483,19,0,ml,andere,2005-02-04 13:45:45
1000499,0,1004,andere,Hub,1990-01-01 00:00:00
1000499,0,1004,andere,Hub,2005-02-04 13:45:45
1000499,0,1004,andere,Hub,2005-12-29 02:24:05
1000518,19,0,ml,andere,1990-01-01 00:00:00
1000518,19,0,ml,andere,2005-02-04 13:45:45
1000527,0,34,andere,Kps,1990-01-01 00:00:00
1000527,0,34,andere,Kps,2005-02-04 13:45:45
1000527,0,34,andere,Kps,2005-05-28 02:32:05
1000549,19,0,ml,andere,1990-01-01 00:00:00
1000549,19,0,ml,andere,2005-02-04 13:45:45
1000575,0,1005,andere,X anwenden,1990-01-01 00:00:00
1000575,0,1005,andere,X anwenden,2005-02-04 13:45:45
1000607,0,19,andere,ml,1990-01-01 00:00:00
1000607,0,19,andere,ml,2005-04-02 02:24:15
1000607,0,19,andere,ml,2005-10-21 02:46:22
1000607,0,19,andere,ml,2005-12-09 02:23:53
1000607,0,19,andere,ml,2005-12-11 02:27:55
1000607,0,19,andere,ml,2005-12-30 02:27:04
1000607,0,19,andere,ml,2005-12-31 02:26:24
1000607,0,19,andere,ml,2006-01-06 02:26:30
1000636,0,19,andere,ml,1990-01-01 00:00:00
1000636,0,19,andere,ml,2005-07-11 15:41:31
1000636,0,19,andere,ml,2005-10-21 02:46:22
1000636,0,19,andere,ml,2005-12-11 02:27:55
1000636,0,19,andere,ml,2005-12-31 02:26:24
1000636,0,19,andere,ml,2006-01-06 02:26:30
1000636,0,19,andere,ml,2006-08-18 04:28:12
1000644,0,19,andere,ml,1990-01-01 00:00:00
1000644,0,19,andere,ml,2005-07-11 15:41:31
1000644,0,19,andere,ml,2005-10-21 02:46:22
