PharmaID,OriginialFormUnitID,StandardFormUnitID,OriginalFormUnitAbbr,StandardFormUnitAbbr,ArchTime
1000644,0,19,andere,ml,2006-05-03 02:36:09
1000644,0,19,andere,ml,2009-02-13 03:18:12
1000644,0,19,andere,ml,2010-01-28 11:52:11
1000644,0,19,andere,ml,2010-09-20 16:58:15
1000644,0,19,andere,ml,2012-01-16 16:05:25
1000644,0,19,andere,ml,2012-04-25 12:39:21
1000644,0,19,andere,ml,2013-08-25 18:12:20
1000644,0,19,andere,ml,2013-08-29 10:58:36
1000644,0,19,andere,ml,2013-11-29 12:47:05
1000674,0,19,andere,ml,1990-01-01 00:00:00
1000674,0,19,andere,ml,2005-10-21 02:46:22
1000677,0,1001,andere,ppm,1990-01-01 00:00:00
1000677,0,1001,andere,ppm,2005-11-08 02:59:20
1001006,22,19,Trpf,ml,2013-11-27 11:03:30
1001203,0,1009,andere,Disk,2016-06-16 20:50:28
